Date Made Public,Company,City,State,Type of breach,Type of organization,Total Records,Description of incident,Information Source,Source URL,Year of Breach,Latitude,Longitude
23-Jul-12,Titus Regional Medical Center (TRMC),Mount Pleasant,Texas,PHYS,MED,0,"The March 29 theft of an unknown number of x-ray films resulted in the exposure of protected health information.  Thieves were able to access the secured storage location that contained the old x-ray films.  These thefts usually occur for the purpose of extracting valuable precious metals from the films by destroying them.  Most of the information on the films was more than five years old.  It is unclear what type of patient information the x-ray films contained, but they did not include Social Security numbers. Notice of the breach was given on May 24.",PHIPrivacy.net,,2012,33.156786,-94.968269
8-Aug-12,Bear Valley Community Hospital,Big Bear Lake,California,INSD,MED,102,An employee was fired after an investigation revealed that patient records were accessed without legitimate cause.  The breach was discovered during a routine audit.,PHIPrivacy.net,,2012,34.243896,-116.911422
17-Aug-12,Wright-Patterson Medical Center,Dayton,Ohio,PHYS,MED,"3,800",A notebook containing names and Social Security numbers was misplaced after a blood drive.  It was left in a limited-use conference room late in the afternoon and recovered the next morning behind a chair.,PHIPrivacy.net,,2012,39.758948,-84.191607
30-Jul-12,"Neurocare, Inc.",Newton,Massachusetts,HACK,MED,0,"A malware attack on a Neurocare CPU resulted in unauthorized intrusion into Neurocare's computer systems.  The attack compromised Neurocare's credentials for accessing a third party paryoll processor.  Unauthorized access to Neurocare's payroll system occurred sometime around June 26, but Neurocare's payroll processor immediately noticed the suspicious account activity and addressed the issue.  Neurocare was notified and immediately changed system passwords, sent notifications, and began investigations. A total of 19 employees had their personal information accessed, but all Neurocare employees may have been affected.",Media,,2012,42.337041,-71.209221
28-Sep-11,"Fairview and North Memorial Hospitals, Accretive",,,PORT,MED,"23,500","The July 25 theft of a laptop resulted in the exposure of patient information.  It was stolen from a rental car parked in the parking lot of a Minneapolis restaurant.  The laptop was in the possession of an employee of the contractor Accretive.  It contained the names, addresses, dates of birth, medical information, and Social Security numbers of patients.  A total of 14,000 Fairview patients were affected.  Approximately 2,800 North Memorial patients were affected, but did not have their Social Security numbers exposed.UPDATE (1/20/2012): A lawsuit was filed against Accretive Health, Inc. as a result of the breach. Approximately 23,500 patients in Minnesota were affected by the breach.  The Minnesota Attorney General claims that Accretive failed to protect patient health care records and failed to disclose its extensive involvement in patient health care.  According to the Minnesota Attorney General, Accretive gained access to sensitive patient data through contracts with the two hospitals and numerically scored patients' risk of hospitalization and medical complexity, graded their ""frailty,"" compiled per-patient profit and loss reports, and identified patients deemed to be ""outliers."" The physical and mental health information included a checklist of 22 different chronic medical conditions that patients did or did not have.  This was without the knowledge or consent of patients and the Attorney General argues that patients had the right to know how their information was being used and to have it kept confidential.Accretive tells investors that its contracts with hospitals include risk scoring patients, reducing avoidable hospital admissions, identifying the sickest and most impact-able patients for proactive management, and identifying real-time interventions with significant revenue or cost impact. The lawsuit alleges that Accretive violated state and federal health privacy laws, state debt collection laws, and state consumer protection laws.  It seeks an order requiring Accretive to fully disclose to patients: 1) what information it has about Minnesota patients; 2) what information it has lost about Minnesota patients; 3) where and to whom it has sent information about Minnesota patients; and 4) the purposes for which it amasses and uses information about Minnesota patients. In addition, the lawsuit asks Accretive to disclose whether it has sent health data about Minnesota patients to an offshore site in new Delhi, India and requests that restrictions be applied to how Accretive treats and uses patient data.The press release from the Office of Minnesota Attorney General Lori Swanson can be found here.UPDATE (08/24/2012): A settlement agreement with Accretive Health was announced at the end of July.  The settlement requires Accretive to stop doing business in Minnesota for two years and to pay approximately $2.5 million to the State of Minnesota, a portion of which will be used to compensate patients.",Databreaches.net,,2011,37.09024,-95.712891
1-Sep-12,Temple Community Hospital,Los Angeles,California,STAT,MED,600,"The July 3 office theft of a computer from the Radiology Department resulted in the exposure of patient information. The computer was used to store CT examination images taken between January 1, 2012 and July 2, 2012.  It contained pictures of CT scans performed, reasons for the scans, patient names, ordering doctors' names, and patient hospital account numbers.",PHIPrivacy.net,,2012,34.052234,-118.243685
27-Mar-12,Howard University Hospital,Washington,District Of Columbia,PORT,MED,"66,601","The January 27 theft of a laptop from a former contractor's vehicle resulted in the loss of patient information.  The patient files included Social Security numbers, names, addresses, identification numbers, medical record numbers, dates of birth, admission dates, diagnosis-related information, and discharge dates. The majority of those affected were patients who were treated at the Hospital between December 2010 and October 2011.  Some patients who received treatment as far back as 2007 were also affected. The patient files had been downloaded onto the contractor's personal laptop in violation of the Hospital's policy. The contractor stopped working for the hospital in December of 2011.UPDATE (09/21/2012): The number of patients who were notified was revised from 34,503 to 66,601.",Databreaches.net,,2012,38.895112,-77.036366
18-Oct-12,Blount memorial Hospital,Maryville,Tennessee,PORT,MED,"27,000","A password-protected laptop was stolen from an employee's home on August 25.  It contained two groups of patient data.  Patient names, dates of birth, responsible party names, patient addresses, physician names, and billing information for 22,000 patients were on the laptop. An additional 5,000 patients had similar information exposed as well as their Social Security numbers and other non-medical information.",PHIPrivacy.net,,2012,35.756472,-83.970459
24-Oct-12,Aultman Hospital,Canton,Ohio,HACK,MED,0,Hardware at Aultman was discovered to have been infected by a cyber attack.  Unauthorized parties may have been able to access credit and debit card information from Aultman gift shop purchases between February and September of 2012.  ,Dataloss DB,,2012,40.798947,-81.378447
9-Nov-12,Memorial Hospital,Colorado Springs,Colorado,PHYS,MED,"6,400","Laboratory reports for about 6,400 patients were discovered missing.  The reports contained bill processing information and charges for laboratory services.  Patients who had lab work done between May 1, 2012 and August 31, 2012 had their names, Memorial internal account numbers, lab work dates, and types of lab work exposed.",PHIPrivacy.net,,2012,38.833882,-104.821363
6-Nov-12,Women & Infants Hospital,Providence,Rhode Island,PORT,MED,"14,004","Unencrypted backup tapes containing ultrasound images from ambulatory sites were discovered missing on September 13.  The information was from Providence, Rhode Island between 1993 and 1997 and New Bedford, Massachusetts between 2002 and 2007.  Patient names, dates of birth, dates of exams, physicians' names, and patient ultrasound images were exposed.  A limited number of current and former patients also had their Social Security numbers exposed. Notifications began on November 5.UPDATE (11/10/2012): A total of 14,004 patients were affected.",PHIPrivacy.net,,2012,41.823989,-71.412834
30-Nov-12,"Inova Fairfax Hospital Cardiac Care Center, Inova Fair Oaks Hospital",Fairfax,Virginia,CARD,MED,0,Someone discovered card skimming devices at an ATM near a gift shop of the Inova Fairfax Hospital Cardiac Care Center and at an ATM next to the Inova Fair Oaks Hospital cafeteria.  One device was discovered by a hospital employee who attempted to use the ATM and witnessed the skimmer fall from the ATM.  A skimming device was previously discovered at the same Inova Fairfax Hospital Cardiac Care Center ATM in September.  It is unclear how long the devices were there and people who used them are urged to check their financial statements.,PHIPrivacy.net,,2012,38.846224,-77.306373
30-Nov-12,"Florida Hospital Tampa (formerly University Community Hospital Medical Center), Crothall Healthcare, Naval Medical Center (Bob Wilson Naval Hospital)",Tampa,Florida,INSD,MED,45,"Three people were arrested for their roles in filing 225 fraudulent tax returns.  They face charges of conspiracy, theft of government property, and aggravated identity theft.  About $555,000 in refund money was obtained.  One of the defendants worked at Florida Hospital Tampa through a maintenance and housekeeping company.  Information came from a variety of medical centers in California and Florida.  There was an incident where the dishonest worker provided her co-conspirators with a list of names and Social Security numbers from patients seen at Florida Hospital Tampa on January 17 of 2012 and another incident where ER patient names, Social Security numbers, and other information was stolen from Crothall Healthcare in January.  ",PHIPrivacy.net,,2012,27.950575,-82.457178
29-Nov-12,St. Catherine Medical Center,Ashland,Pennsylvania,PHYS,MED,0,"Sensitive patient and employee records were left unsecured in the abandoned medical center.  A November 10 auction of office equipment and computers was held in the medical center, but one person reported seeing piles of sensitive documents and being able to access sensitive items like badges of former employees. The person provided pictures of personnel records and other items that should have been secured. A representative speaking on behalf of those responsible for safeguarding private information responded that the pictures were taken behind an area that had been secured with a rope. Additionally, the person claims that one of the computers that was purchased at the auction still contained sensitive information.",PHIPrivacy.net,,2012,40.781754,-76.345783
29-Nov-12,Vidant Pungo Hospital,Belhaven,North Carolina,PHYS,MED,"1,100","Patient information was exposed by the accidental disposal of paper jackets with old radiology films.  Patient information such as name, address, age, date of birth, race, sex, name of radiology procedure and radiology procedure date was exposed.  The paper jackets were sent to a local landfill.",PHIPrivacy.net,,2012,35.540165,-76.622987
24-Nov-12,CHRISTUS St. John Hospital,Houston,Texas,PORT,MED,0,"An unencrypted flash drive was discovered lost or stolen on September 25.  It contained patient names, Social Security numbers, dates of birth, health insurance information, diagnoses, and progress notes.  The information came from patients who participated in the St. John Sports Medicine Program and were treated between January 1, 2011 and July 31, 2012.",PHIPrivacy.net,,2012,29.760193,-95.36939
22-Dec-12,Vidant Pungo Hospital,Belhaven,North Carolina,PHYS,MED,"1,100","Paper jackets that held radiology films were thrown away with office trash instead of being properly discarded.  The paper jackets contained names, addresses, dates of birth, ages, sex, race, and information on dates and names of radiology procedures prior to May of 2012.  The paper jackets are believed to have been picked up by a sanitation company and discarded in a landfill.",HHS via PHIPrivacy.net,,2012,35.540165,-76.622987
3-Jan-13,"Mission Hospital, St. Joseph Health",Mission Laguna Beach,California,PORT,MED,0,"Someone called Mission Hospital on August 28, 2012 and claimed that he found a flash drive with sensitive patient information in his garage.  The flash drive was returned to Mission Hospital via mailed envelope on September 11, 2012.  Patients who received services at Mission Hospital between September and November of 2008 may have had their information exposed. The notice that was sent to patients was dated September 14, 2012.  It appears that a contractor or employee misplaced the unencrypted flash drive.The flash drive contained names, medical record numbers, and account numbers. Additionally, the flash drive may have contained some combination of date of admission, age, birth date, vital readings, physical examination, gender, race, name of physician, medical history, past and current treatment and illnesses, history of substance use, family history, lab tests and results, imaging tests and results, body weight, physician notes on patient, care plan, employment status and employer, prognosis, diagnosis, treatment recommendations, allergies, medications, comments about patient's appearance, patient health complaint, symptoms, reason for referral, and reason for admission information.",PHIPrivacy.net,,2013,33.500432,-117.740636
28-Dec-12,Gibson General Hospital,Princeton,Indiana,PORT,MED,"29,000","The November 27 theft of a laptop may have resulted in the exposure of patient information.  Names, Social Security numbers, addresses, and clinical information may have been exposed.  Patients who have received services since 2007 may have been affected.",PHIPrivacy.net,,2012,38.355324,-87.567522
22-Dec-12,Brigham and Women's Hospital,Boston,Massachusetts,STAT,MED,615,"The October 16 theft of a desktop computer may have resulted in the exposure of patient information.UPDATE (12/28/2012): The computer was stolen from the Brigham and Women's Hospital office.  Medical record numbers, age, medications, laboratory values and other clinical information may have been on the computer.  Up to 615 people may have been affected by the theft.",HHS via PHIPrivacy.net,,2012,42.358431,-71.059773
16-Nov-12,Landmark Medical Center,Woonsocket,Rhode Island,PORT,MED,683,"The office theft of a laptop resulted in the exposure of patient information.  A spreadsheet with sensitive information that could be easily accessed was on the stolen laptop. It is unclear what type of information was exposed, but Social Security numbers, addresses, and medical information were not involved.UPDATE (12/21/2012): A Health and Human Services (HHS) notice reveals that the theft occurred on October 1.  A total of 683 patients were affected by the breach.",PHIPrivacy.net,,2012,42.002876,-71.514784
13-Aug-10,"Holyoke Medical Center, Caritas Carney Hospital, Milton Hospital, Milford Hospital",Georgetown,Massachusetts,PHYS,MED,"45,600","A large pile of medical records was found at Georgetown Transfer Station public dump. The reports contained names, addresses, diagnosis, Social Security numbers, and insurance information. A medical billing company known as Goldthwait Associates is believed to be responsible. The medical records are mostly from pathology patients served at the hospitals between 2007 and March of 2010.UPDATE (9/2/10): Holyoke reported that 24,750 patients were affected.  The exact number of patients affected from other medical centers is still unknown. Between 8,000 and 12,000 patients of Milton Hospital were affected.UPDATE (10/11/10): Milton Pathology Associates, P.C. reported that a prior owner of Goldthwait Associates improperly disposed of patient information. Eleven thousand patients were affected.  Milford Regional Medical Center reports that the incident affected 19,750 patients.UPDATE (01/07/2013): People associated with Goldthwait Associates, Chestnust Pathology Services, Milford Pathology Associates, Milton Pathology Associates, and Pioneer Valley Pathology Associates agreed to collectively pay $140,000 to settle allegations related to the breach.",PHIPrivacy.net,,2010,42.725,-70.991667
7-Jan-13,Woodwinds Hospital,Woodbury,Minnesota,INSD,MED,0,An employee kept 200 pages of confidential information in an effort to prove that Woodwinds Hospital was trying to conceal evidence of medical misconduct.  The employee was discharged in 2010 for reasons unrelated to removing the information.  She claims to have taken them home after being ordered to destroy any information related to incidents that could damage Woodwinds Hospital's reputation.,PHIPrivacy.net,,2013,44.923855,-92.95938
17-Jan-13,St. Mark's Medical Center,La Grange,Texas,HACK,MED,"2,988","An employee's computer was found to contain malware.  The malware infection began on May 21, 2012 and was discovered on November 15, 2012.  Files stored on the computer contained billing information with patient names, Social Security numbers, account numbers, medical record numbers, dates of birth, gender, treatment dates, insurance provider names, and account balances.",PHIPrivacy.net,,2013,29.905503,-96.876647
22-Jun-09,Baptist Medical Center,Montgomery,Alabama,PHYS,MED,0,"Many folders that were found in a landfill dump site were labeled ""Radiology Department, Baptist Medical Center."" Hundreds of medical records were out in the open, all with sensitive information. Sensitive patient information that was thrown out included names, x-rays, ultrasounds, MRIs, and Social Security numbers.  Files from at least five other facilities were found at the same site; however Baptist Medical Center is believed to be the source of the breach.UPDATE (8/5/08): A former employee of Baptist Hospital has been sentenced to two years and one day in federal prison for wire fraud and stealing the identities of patients, according to a Department of Justice press release. Adrienne Denise Stovall, 30, pled guilty in January to one count of wire fraud and one count of aggravated identity theft, which carries a mandatory sentence of two years. Stovall worked at Montgomery's Baptist Hospital from August 2006 to early 2007. Her position gave her access to the hospital's computer system. The system contained confidential information including patient names, dates of birth, and Social Security numbers. Stovall used the information to apply for credit lines and credit cards. http://www.justice.gov/usao/alm/press/current_press/2010_05_05_stovall.pdf",Media,,2009,32.366805,-86.299969
29-Jan-13,North Los Angeles County Regional Center (NLACRC),Van Nuys,California,PORT,MED,0,"The November 13, 2012 theft of a laptop resulted in the exposure of consumer information.  Names, addresses, phone numbers, dates of birth, residential information, and medical information may have been exposed.",California Attorney General,,2013,34.189857,-118.451357
7-Feb-13,Wayne Memorial Hospital,Honesdale,Pennsylvania,PORT,MED,"1,182","An unencrypted disc that contained patient information was lost in transit.  The disc had names, Medicare account numbers, and outstanding account balances from patients who visited the Honesdale hospital between 2007 and 2012.  A legal envelope that contained the disc was mailed on November 28 and arrived at Novitas Solutions in Pittsburgh in a cardboard box without the disc. ",PHIPrivacy.net,,2013,41.576755,-75.258787
12-Jan-13,Florida Department of Juvenile Justice,Tallahassee,Florida,STAT,MED,"100,000","On September 6, 2012 it was reported that three computers that contained information from the Florida Department of Juvenile Justice were stolen from an apartment site earlier in the week.  A television was also taken at the time of the theft.UPDATE (01/12/2013): At least one of the devices was neither encrypted nor password protected and held the personal information of over 100,000 youth and employees.",Databreaches.net,,2013,30.438256,-84.280733
17-Feb-13,Sierra View District Hospital,Porterville,California,HACK,MED,0,The Information Technology Department at Sierra View District Hospital detected unusual activity on its computer network.  Patient information may have been affected and the investigation is ongoing.,PHIPrivacy.net,,2013,36.06523,-119.016768
17-Feb-13,"Heyman HospiceCare, Floyd Medical Center",Rome,Georgia,PORT,MED,0,"The theft of a password-protected laptop from an employee's car may have resulted in the exposure of patient information.  The theft occurred on January 4, 2013 and was reported immediately.  Patients who were treated between July 1, 2006 and January 3, 2013 may have had their names, Social Security numbers, addresses, phone numbers, dates of birth, insurance policy numbers, diagnoses, visit notes, physician names, caregiver names, and advance directives exposed.",PHIPrivacy.net,,2013,34.257038,-85.164673
13-Feb-13,Sinai Medical Center of Jersey City LLC,Jersey City,New Jersey,INSD,MED,0,"A pediatrician misused patient information in order to defraud Medicaid of nearly one million dollars.  The pediatrician owned Sinai Medical Center and billed Medicaid for wound repairs and other procedures that were never performed.  Police arrested the dishonest pediatrician on January 16, 2013.  ",PHIPrivacy.net,,2013,40.728158,-74.077642
14-Oct-11,Scott County Memorial Hospital,Scottsburg,Indiana,PORT,MED,"2,059","A surgeon, had a palm pilot device stolen from his parked vehicle on or around the morning of July 13, 2011.  It held patient names, dates of birth, surgical procedures, diagnoses, and anesthesia.  Patients who had seen the surgeon between December 27, 2007 and June 24, 2011 were affected.",HHS via PHIPrivacy.net,,2011,38.685614,-85.770245
27-Oct-11,James A. Haley VA Hospital,Tampa,Florida,PORT,MED,0,"A camera from the Plastic Surgery Clinic was discovered missing in November of 2010.  It contained Social Security numbers and graphic photos of female patients before and after surgery for breast cancer.  The same investigation that uncovered the missing camera also revealed that laptops, televisions, thumb drives, microscopes, a hospital surveillance system, and other equipment had been lost or stolen within the past two years.  One missing thumb drive contained additional patient information.",PHIPrivacy.net,,2011,27.950575,-82.457178
31-Jul-12,Oregon Health and Science University Hospital (OHSU),Portland,Oregon,PORT,MED,"14,495","The July 4 or 5 burglary of an OHSU empoyee's home resulted in the theft of a briefcase, a thumb drive, and several other items.  The thumb drive was used to back up data from OHSU computer systems and would normally be locked in a secure location on campus.  Pediatric patient information such as name, date of birth, phone number, address, OHSU medical record number, patient medical condition code, or family medical history was exposed. A total of 702 patients had additional information exposed that was more sensitive.  The thumb drive also contained a database of OHSU staff information that included names, Social Security numbers, addresses, and employment-related vaccination information of 195 OHSU employees.",PHIPrivacy.net,,2012,45.523452,-122.676207
1-Mar-13,"Samaritan Hospital, Rensselaer County Jail",Troy,New York,INSD,MED,0,"A nursing supervisor of Rensselaer County Jail was found to have misused credentials to access patient records without cause.  The Rensselaer County Jail information is maintained by Samaritan Hospital.  The hospital learned of the breach in November 2011, disabled the employee's account, and notified the sheriff's office immediately.  Subsequently, the Hospital may have delayed notifying patients because of the ongoing investigation.  Notifications were sent out during the first week of March in 2013.UPDATE (04/01/2013): A total of 48 people have been notified.  Patients from as far back as 2006 may have been affected.",PHIPrivacy.net,,2013,42.728412,-73.691785
1-Apr-13,Granger Medical Clinic,West Valley City,Utah,PHYS,MED,"2,600","A total of 2,600 medical appointment records disappeared before they could be shredded.  The records contained patient names, dates of appointments, times of appointments, and reason for appointment.  No medical claim information, financial information, or Social Security numbers were exposed.",Media,,2013,40.691613,-112.00105
7-Mar-13,Uniontown Hospital,Uniontown,Pennsylvania,HACK,MED,0,"A hacker or hackers accessed patient information and posted it online.  The breach was discovered by a data privacy expert. Uniontown indirectly notified the public of the breach and breach containment after the privacy expert attempted to reach Uniontown Hospital for several days.  Names, encrypted passwords, contact names, email addresses, and usernames may have been exposed.  It is unclear how long the information was available.",PHIPrivacy.net,,2013,39.900076,-79.716433
16-Apr-13,Schneck Medical Center,Seymour,Indiana,DISC,MED,"3,000","A Schneck Medical Center employee gave a presentation that was later placed online.  People who searched through the files from the presentation could find the names of 3,000 Schneck Medical Center patients.  The presentation was removed from online and Google removed all cached information from the Internet.",PHIPrivacy.net,,2013,38.95922,-85.890255
26-Apr-13,Upstate University Hospital,Syracuse,New York,PORT,MED,283,"A portable electronic device was stolen from Upstate University Hospital on March 30 or 31.  It contained the names, hospital medical record numbers, dates of birth, and diagnosis information of patients.",PHIPrivacy.net,,2013,43.048122,-76.147424
11-May-13,Regional Medical Center,Memphis,Tennessee,DISC,MED,"1,200","Some patients who were treated at an outpatient facility between May 1 of 2012 and January 31 of 2013 had their information attached to emails that went out to an unspecified organization or organizations.  Three emails that were not secure were sent on October 29 and November 1 of 2012 and February 4, 2013.  Patient names, Social Security numbers, account numbers, dates of birth, home phone numbers, and reasons for outpatient physical therapy services may have been exposed.",PHIPrivacy.net,,2013,35.149534,-90.04898
17-May-13,Wood County Hospital,Bowling Green,Ohio,PHYS,MED,"2,500","The March theft of radiology films resulted in the exposure of patient information.  The films were most likely stolen from the Hospital's storage room in order to be stripped of their silver.  The films contained patient names, medical record numbers, dates of exams, and in some cases, dates of birth.  The thieves posed as recycling subcontractors.  ",HHS via PHIPrivacy.net,,2013,41.374774,-83.651323
12-Jun-13,Sentara Virginia Beach General Hospital,Virginia Beach,Virginia,PHYS,MED,0,Two men claimed to be from a recycling company and stole over 200 pounds of x-ray film that contained sensitive patient information.  The men transported the x-rays from the hospital without incident by using a moving truck. The breach occurred in 2012 and affected less than 500 patients.,Databreaches.net,,2013,36.852926,-75.977985
12-Jun-13,Lucile Packard Children's Hospital,Palo Alto,California,PORT,MED,"12,900","Between May 2 and May 8, a non-functional laptop computer was stolen from a secured area of the hospital.  The laptop was password protected and contained names, ages, medical record numbers, telephone numbers, scheduled surgical procedures, and names of physicians involved in procedures between 2009 and 2012.  ",PHIPrivacy.net,,2013,37.441883,-122.14302
14-Jun-13,Fayetteville Veterans Affairs Medical Center,Fayetteville,North Carolina,PHYS,MED,"1,093","Optical shop consultation reports were placed in a publicly accessible recycling bin over a period of three months rather than properly disposed.  The documents contained names, Social Security numbers, addresses, dates of birth, and prescriptions.  The issue was discovered on April 17 and most likely started in January of 2013.",PHIPrivacy.net,,2013,35.052664,-78.878359
19-Jun-13,Ephrata Community Hospital,Ephrata,Pennsylvania,INSD,MED,0,An employee inappropriately accessed patient information.  The incident or incidents were discovered on April 16. Patient clinical and other medical information may have been exposed. No Social Security numbers were exposed.,Media,,2013,40.179817,-76.178839
25-Jun-13,"Baptist Health South Florida, West Kendall Baptist Hospital",Miami,Florida,INSD,MED,0,"An employee of West Kendall Baptist Hospital sold patient information to a man who used the information to file fraudulent tax returns.  Patients may have had their names, Social Security numbers, and dates of birth exposed.  The man who purchased and used the information was sentenced to 31 months in federal prison after pleading guilty to possessing 15 or more Social Security numbers.",PHIPrivacy.net,,2013,25.76168,-80.19179
30-Sep-11,Florida Hospital,Orlando,Florida,INSD,MED,"12,000","Patients who visited emergency departments of three Central Florida county Florida Hospitals between January 1, 2010 and August 15, 2011 may have had their information improperly accessed by one or more employees.  Patient names, Social Security numbers, dates of birth and insurance information were exposed.  Several employees were fired for misconduct, but one employee was fired for viewing patient information without authorization for the purpose of identifying motor vehicle accident victims.  The hospital launched an investigation after a car-accident victim felt that a soliciting attorney had somehow obtained his medical information.UPDATE (10/19/2011): The FBI is now investigating the disclosure of patient information.  It appears that three employees sold accident victim data to an attorney referral service.  Former patients have also been contacted by funeral homes and at least one patient became an identity theft victim.UPDATE (08/18/2012): One dishonest employee who worked at Florida Hospital Celebration allegedly viewed the emergency room records of 763,000 patients. A total of 12,000 patients from the group of 763,000 were contacted by the Hospital and notified of the risk of identity theft.UPDATE (10/22/2012): The former employee worked at Florida Hospital from July 2006 until July 2011 and was responsible for registering emergency patients.  The scam involved patient phone referrals to a lawyer or chiropractor who knew details about car accidents and hospital treatments. The dishonest employee had illegally gathered the patient information during emergency visits. He pleaded guilty to conspiracy to obtain health information and wrongful disclosure of health information. UPDATE (01/07/2013): A man associated with Metro Chiropractic and Wellness Center and City Lights Medical Center pleaded guilty to charges related to illegally obtaining patient information from two spouses who worked at Florida Hospital Celebration. He was charged with one count of conspiracy to defraud the United States and four counts of making a payment to a non-licensed physician.UPDATE (04/12/2013): One former patient affected by the breach has brought a lawsuit against Adventist Health System/Sunbelt, Inc.  Florida Hospital Celebration and 36 other hospitals compose the Adventist network. The former patient is alleging that their privacy rights as a patient were violated when Adventist Health System/Sunbelt Inc. failed to prevent emergency room works from selling access to their medical records.UPDATE (07/12/2013): The lawsuit that was filed in April was dismissed by a judge on July 3. Another lawsuit was then filed in Orange County Circuit Court in Orlando.",PHIPrivacy.net,,2011,28.538336,-81.379237
12-Jul-13,Long Beach Memorial Medical Center,Long Beach,California,INSD,MED,"2,864","Patients who received treatment between September 2012 to June 2013 may have had their information exposed by a breach related to an employee.  Names, sex, dates of birth, home addresses, phone numbers, account numbers, insurance information, and the reason for admission were exposed.  There is currently no reason to believe that the information was used in a malicious manner.",Media,,2013,33.77005,-118.19374
5-Apr-13,William Jennings Bryan Dorn VA Medical Center,Columbia,South Carolina,PORT,MED,"7,405","The February 11 theft of an unencrypted laptop from the respiratory department resulted in the exposure of patient information.  Veterans who were patients may have had their name, Social Security number, age, race, weight, and medical test results on the laptop.  The laptop was taken during regular clinic hours.UPDATE (05/01/2013): A lawsuit has been filed by two veterans on behalf of people who were affected by the breach.UPDATE (07/22/2013): The Dorn VA has motioned to dismiss the case.  On July 16 the Dorn VA said that it has not been proven that the records were improperly disclosed. It also argued that the plaintiffs never asserted that the records had been shown to another or unauthorized person.",PHIPrivacy.net,,2013,34.00071,-81.034814
24-May-13,Sonoma Valley Hospital,Sonoma,California,DISC,MED,"1,350","An employee error caused patient information from surgeries to appear on the internet.  Names, dates of service, procedures, surgeons, hospital charges, and names of insurance companies were accidentally uploaded.  The breach occurred on February 14 and was discovered on April 17.  UPDATE (07/10/2013): Surgical services covering information from July 1, 2011 to June 30, 2012 was posted on the Sonoma Valley Hospital website.",PHIPrivacy.net,,2013,38.291859,-122.458036
27-Aug-13,University of Mississippi Medical Center,Jackson,Mississippi,DISC,MED,"2,279","An employee of the University of Mississippi Medical Center accidentally attached a spreadsheet with sensitive information to an email that went out to students.  The email was sent on August 21 and the spreadsheet contained student names, Social Security numbers, GPAs, race, gender, dates of birth, mailing addresses, and phone numbers.  The breach was discovered within hours and the University used a combination of asking students to delete the email and manually removing the email from students' webmail accounts.  The email was meant to alert students to changes being made to the school's health insurance.",Media,,2013,32.298757,-90.18481
3-Sep-13,St. Anthony,St. Louis,Missouri,PORT,MED,"2,600","The July 29 car burglary of a laptop computer and flash drive resulted in the exposure of patient information.  Patient names, dates of birth, and other information contained in medical records were exposed.",Media,,2013,38.627003,-90.199404
6-Sep-13,James A. Haley Veterans Hospital,Tampa,Florida,INSD,MED,106,"A volunteer allegedly stole the names and Social Security numbers of 106 patients and used the information to file $550,000 worth of fraudulent tax returns.  The volunteer had a co-conspirator and the breach began in late January of 2012.  ",Media,,2013,27.950575,-82.457178
25-May-12,Phoebe Putney Memorial Hospital,Albany,Georgia,INSD,MED,0,"On April 9, 2012, Phoebe Putney Home Health Care (PPMH) learned from law enforcement officials that a former employee had improperly accessed patient information with the intent to file fraudulent tax returns.  The dishonest employee may have accessed the names, Social Security numbers, and dates of birth of patients some time between June 2010 and April 2012.  Patients who were treated through PPMH between July 2005 and April 2012 may have been affected.UPDATE (09/03/2013): The dishonest former employee pleaded guilty to embezzlement of government property and aggravated identity theft on August 23, 2012. She was sentenced to 70 months in prison and ordered to pay $110,431 in restitution to the IRS on August 12, 2013.",PHIPrivacy.net,,2012,31.578507,-84.155741
7-Aug-13,Retinal Consultants Medical Group (Vitreo-Retinal Medical Group),Sacramento,California,PORT,MED,"1,837","The theft of a laptop resulted in the exposure of patient information.  The laptop was stolen from the medical group's offices sometime between June 5 and June 6.  Patient names, dates of birth, gender, race, and medical images were exposed.  UPDATE (08/28/2013): The breach affected 1,837 patients.",Media,,2013,38.581572,-121.4944
2-Oct-13,Santa Clara Valley Medical Center,San Jose,California,PORT,MED,571,"The theft of an unencrypted laptop from the audiology department of Santa Clara Valley Medical Center resulted in the exposure of patient names, medical record numbers, dates of birth, ages, sex, dates of service, and brainwave tests.  The theft was discovered on September 16.",Media,,2013,37.338208,-121.886329
9-Oct-13,Holy Cross Hospital,Fort Lauderdale,Florida,INSD,MED,"9,900","Nearly 9,900 former Holy Cross Hospital patients were affected by a breach that involved a dishonest employee filing fraudulent tax returns.  Names, Social Security numbers, dates of birth, and addresses were exposed between November 2011 and August 2013.",Media,,2013,26.122439,-80.137317
23-Sep-13,Columbia University Medical Center (CUMC),New York,New York,DISC,MED,407,An Excel file with the names and Social Security numbers of 407 medical students was accidentally attached to an email that was sent to medical students interested in a residency match list.  The Excel column that contained the Social Security numbers was hidden and still accessible.  The issue was discovered in March for the 2013 list and it was later discovered that the same issue had occurred in 2008 and 2009.,Databreaches.net,,2013,40.712784,-74.005941
31-Oct-13,Boone Hospital Center,Columbia,Missouri,INSD,MED,125,"An employee was found to have accessed Social Security numbers, dates of birth, medical diagnoses, prescribed treatments, and other health information without cause.  A patient contacted Boone Hospital Center on September 16 and said that her personal health information had been accessed.  An investigation revealed the breach and the employee's access was terminated on September 19.",Media,,2013,38.951705,-92.334072
